plantId,commonName,botanicalName,category,poolScore,poolLevel,slopeScore,slopeLevel,flowerBedScore,hedgeScore,grassScore,messiness,evergreenPresence,beeDraw,petKidCaution,colorType,welGardens,allStar,notes,roleReasons
251,Ajuga,Ajuga reptans 'Catlin's Giant',PERENNIALS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
267,Baby's Tears,Soleirolia soleirolii,PERENNIALS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
268,Bacopa,Sutera cordata,PERENNIALS,34,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
269,Begonia rex,Begonia rex,PERENNIALS,72,good,100,excellent,20,20,20,low,seasonal/deciduous,low,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
277,Blue Fescue,Festuca glauca,PERENNIALS,100,excellent,100,excellent,20,20,90,low,evergreen/everpresent,low,normal,foliage color,,,,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | grasses/sedges help mixed slope plantings | existing slope design score
278,Blue Lithodora,Lithodora diffusa,PERENNIALS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
282,Blue Star Creeper,Isotoma fluviatilis 'Blue Star',PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
286,Ajuga 'Bronze',Ajuga reptans 'Bronze',PERENNIALS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
289,Cadet&#8482; Verbena,Cadet&#8482; Verbena Series,PERENNIALS,14,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
295,California Red Buckwheat,Eriogonum grande rubescens,PERENNIALS,14,poor,100,excellent,62,20,20,medium,semi-evergreen/uncertain,medium-high,normal,foliage color,Wildlife Habitat garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,WEL native/wildlife/streetscape match; useful low-water slope source signal | waterwise enough for dry slope | slope-appropriate shrub/erosion-control plant type | existing slope design score
312,Coreopsis 'Nana',Coreopsis auriculata 'Nana',PERENNIALS,0,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,flower color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
314,Cranesbill 'Bishops Form',Erodium variabile 'Bishops Form',PERENNIALS,10,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
315,Cranesbill 'Rozanne',Geranium x 'Rozanne',PERENNIALS,34,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
322,Creeping Thyme 'Pink',Thymus praecox arcticus 'Pink',PERENNIALS,48,accent,100,excellent,62,20,20,low,seasonal/deciduous,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
323,Creeping Thyme 'Red',Thymus praecox-arcticus 'Red',PERENNIALS,0,poor,100,excellent,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
325,Creeping Zinnia,Sanvitalia procumbens 'Sunbini',PERENNIALS,10,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
333,Dead Nettle,Lamium maculatum,PERENNIALS,34,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
342,Dwarf Mondo Grass,Ophiopogon japonicus 'Nana',PERENNIALS,62,usable,100,excellent,62,20,90,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | grasses/sedges help mixed slope plantings | existing slope design score
343,Silver Carpet,Dymondia margaretae,PERENNIALS,62,usable,100,excellent,76,20,20,low,evergreen/everpresent,medium,normal,foliage color,Perennial garden,,Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
361,Thyme 'Elfin',Thymus serpyllum,PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
362,Enduro&#8482; Verbena,Enduro&#8482; Verbena Series,PERENNIALS,14,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
369,Fan Flower,,PERENNIALS,42,accent,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
374,Firehouse&#8482; Verbena,Firehouse&#8482; Verbena Series,PERENNIALS,14,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
377,Foothill Penstemon 'Margarita BOP',Penstemon heterophyllus 'Margarita BOP',PERENNIALS,34,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Wildlife Habitat garden; Streetscape garden,penstemon heterophyllus,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source. | Matched UC Davis Arboretum All-Star source term.,WEL native/wildlife/streetscape match; useful low-water slope source signal | All-Star reliability supports low-water slope planting | waterwise enough for dry slope | groundcover/trailing/spreading behavior | wider-than-tall form helps cover slope | existing slope design score
387,Gazania,,PERENNIALS,34,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
390,Germander 'Summer Sunshine',Teucrium chamaedrys 'Summer Sunshine',PERENNIALS,62,usable,100,excellent,62,20,20,low,seasonal/deciduous,medium,normal,foliage color,Popular Plant garden; Wildlife Habitat garden; Streetscape garden,,Matched local Sacramento County UC Master Gardener WEL source.,WEL native/wildlife/streetscape match; useful low-water slope source signal | waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
392,Golden Moneywort,Lysimachia nummularia 'Aurea',PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
395,Green Carpet,Herniaria glabra,PERENNIALS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,mostly green/texture,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
396,Green Moneywort,Lysimachia nummularia,PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
397,Green Santolina,Santolina virens,PERENNIALS,62,usable,100,excellent,62,84,20,low,evergreen/everpresent,medium,normal,flower color,,,,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
416,Silver Carpet Lamb's Ear,Stachys byzantina 'Silver Carpet',PERENNIALS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,Popular Plant garden; Wildlife Habitat garden,,Matched local Sacramento County UC Master Gardener WEL source.,WEL native/wildlife/streetscape match; useful low-water slope source signal | waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
424,Lantana 'Trailing Purple',Lantana montevidensis 'Trailing Purple',PERENNIALS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,Welcome garden; Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
425,Lantana 'Trailing White',Lantana montevidensis 'Trailing White',PERENNIALS,46,accent,100,excellent,62,20,20,medium,evergreen/everpresent,medium-high,normal,flower color,Welcome garden; Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
426,Lascar&#8482; Verbena,Lascar&#8482; Verbena Series,PERENNIALS,14,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
430,Lavender Cotton,Santolina chamaecyparissus,PERENNIALS,30,poor,100,excellent,62,84,20,medium,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
442,Licorice Plant,Helichrysum petiolare,PERENNIALS,72,good,100,excellent,20,20,20,low,seasonal/deciduous,low,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
450,Mazus,Mazus reptans,PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
451,Mexican Evening Primrose,Oenothera speciosa 'Siskiyou',PERENNIALS,0,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,flower color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
452,Mexican Petunia,Ruellia brittoniana,PERENNIALS,42,accent,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
453,Mezoo&#8482; Trailing Red Livingstone Daisy,Aptenia cordifolia 'Mezoo Trailing Red',PERENNIALS,14,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
454,Mondo Grass,Ophiopogon japonicus 'Nana',PERENNIALS,62,usable,100,excellent,62,20,90,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | grasses/sedges help mixed slope plantings | existing slope design score
473,Platt's Black Brass Buttons,Leptinella squalida 'Platt's Black',PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
498,Saxifrage,Saxifraga Assorted,PERENNIALS,10,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
518,Snake Flower,Bulbine frutescens,PERENNIALS,62,usable,100,excellent,76,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,Perennial garden; Popular Plant garden; Wildlife Habitat garden; Streetscape garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,WEL native/wildlife/streetscape match; useful low-water slope source signal | waterwise enough for dry slope | groundcover/trailing/spreading behavior | wider-than-tall form helps cover slope | existing slope design score
528,Veronica 'Georgia Blue',Veronica umbrosa 'Georgia Blue',PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
529,St. John's Wort,Hypericum calycinum,PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
531,Stonecrop,,PERENNIALS,62,usable,100,excellent,20,20,20,low,seasonal/deciduous,medium,normal,foliage color,,,Succulent/architectural plants are treated as accents for pool and slope unless supported by other role signals.,"waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | succulent allowed only as slope accent, not main matrix | existing slope design score"
532,Stonecrop,,PERENNIALS,62,usable,100,excellent,20,20,20,low,evergreen/everpresent,medium,normal,flower color,,,Succulent/architectural plants are treated as accents for pool and slope unless supported by other role signals.,"waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | succulent allowed only as slope accent, not main matrix | existing slope design score"
539,Variegated Carpet Stonecrop,Sedum lineare 'Variegatum',PERENNIALS,62,usable,100,excellent,20,20,20,low,evergreen/everpresent,medium,normal,foliage color,Welcome garden,,Succulent/architectural plants are treated as accents for pool and slope unless supported by other role signals. | Matched local Sacramento County UC Master Gardener WEL source.,"waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | succulent allowed only as slope accent, not main matrix | existing slope design score"
545,Stonecrop 'Sea Urchin',Sedum 'Sea Urchin',PERENNIALS,62,usable,100,excellent,20,20,20,low,evergreen/everpresent,medium,normal,foliage color,Welcome garden,,Succulent/architectural plants are treated as accents for pool and slope unless supported by other role signals. | Matched local Sacramento County UC Master Gardener WEL source.,"waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | succulent allowed only as slope accent, not main matrix | existing slope design score"
549,String of Bananas,Senecio rowleyanus,PERENNIALS,62,usable,100,excellent,20,20,20,low,seasonal/deciduous,medium,normal,flower color,,,Succulent/architectural plants are treated as accents for pool and slope unless supported by other role signals.,"waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | succulent allowed only as slope accent, not main matrix | existing slope design score"
557,Superbena® Series Verbena,Grown by Matsuda's,PERENNIALS,6,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
558,Sweet Caroline Sweetheart Shadowstorm®,Ipomoea batatas,PERENNIALS,62,usable,100,excellent,62,20,20,low,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
560,Sweet Woodruff,Galium odoratum,PERENNIALS,48,accent,100,excellent,62,20,20,low,seasonal/deciduous,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
562,Tapien® Verbena,Tapien® Verbena Series,PERENNIALS,6,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
563,Woolly Thyme,Thymus pseudolanuginosus,PERENNIALS,6,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
564,Trailing Phlox,Phlox subulata,PERENNIALS,34,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
568,Verbena 'Homestead',Verbena candensis 'Homestead',PERENNIALS,14,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
571,White Star Creeper,Isotoma fluviatilis 'White Star',PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
598,Flower Carpet® Pink Splash Rose,Rosa x 'Flower Carpet Pink Splash',ROSES,0,poor,100,excellent,20,20,20,medium,seasonal/deciduous,medium-high,caution,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
599,Flower Carpet® Pink Supreme Rose,Rosa x 'Flower Carpet Pink Supreme',ROSES,0,poor,100,excellent,20,20,20,medium,seasonal/deciduous,medium-high,caution,flower color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
600,Landscape Rose 'Red',Rosa x 'Landscape Red',ROSES,0,poor,100,excellent,20,20,20,medium,seasonal/deciduous,medium-high,caution,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
601,Flower Carpet® Scarlet Rose,Rosa x 'Flower Carpet Scarlet',ROSES,0,poor,100,excellent,20,20,20,medium,seasonal/deciduous,medium-high,caution,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
602,Landscape Rose 'White',Rosa x 'Landscape White',ROSES,0,poor,100,excellent,20,20,20,medium,seasonal/deciduous,medium-high,caution,flower color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
603,Flower Carpet® Yellow Rose,Rosa x 'Flower Carpet Yellow',ROSES,0,poor,100,excellent,20,20,20,medium,seasonal/deciduous,medium-high,caution,flower color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
733,"Boysenberry Assorted 4"" Sleeve",Dave Wilson Nursery®,SHRUBS,0,poor,100,excellent,62,20,20,high,seasonal/deciduous,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
767,Camellia 'Shishi Gashira' | Matsuda's,Camellia hiemalis 'Shishi Gashira',SHRUBS,62,usable,100,excellent,20,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
768,Camellia 'Shishi Gashira' | Monrovia,Camellia hiemalis 'Shishi Gashira',SHRUBS,62,usable,100,excellent,20,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
771,Camellia s. 'White Doves',Camellia sasanqua 'White Doves',SHRUBS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
783,Breath Of Heaven 'Sunset Gold',Coleonema pulchellum 'Sunset Gold',SHRUBS,62,usable,100,excellent,62,84,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
796,Cotoneaster 'Lowfast',Cotoneaster dammeri 'Lowfast',SHRUBS,44,accent,100,excellent,20,20,20,medium,evergreen/everpresent,medium,normal,flower color,Welcome garden,,Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | too large for generator slope matrix | existing slope design score
841,Euonymus 'Emerald Gaiety',Euonymus fortunei 'Emerald Gaiety',SHRUBS,100,excellent,100,excellent,34,84,20,low,evergreen/everpresent,low,normal,foliage color,Perennial garden,,Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
843,Euonymus 'Gracilis',Euonymus fortunei 'Gracilis',SHRUBS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,,,,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
860,Fruity Germander,Teucrium cossonii majoricum,SHRUBS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
866,Gardenia 'Veitchii',Gardenia jasminoides 'Veitchii',SHRUBS,62,usable,100,excellent,20,20,20,low,evergreen/everpresent,medium,normal,flower color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
877,Grevillea 'Coastal Gem',Grevillea lanigera 'Coastal Gem',SHRUBS,62,usable,100,excellent,76,20,20,medium,evergreen/everpresent,medium-high,normal,flower color,Perennial garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
878,Grevillea 'Mt. Tamboritha',Grevillea lanigera 'Mt. Tamboritha',SHRUBS,62,usable,100,excellent,20,20,20,medium,evergreen/everpresent,medium-high,normal,flower color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
879,Grevillea 'Noellii',,SHRUBS,62,usable,100,excellent,20,20,20,medium,evergreen/everpresent,medium-high,normal,flower color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
